project;merge commit;className;method;left modifications;has_build;left deletions;right modifications;right deletions
webbit;74d2d2b87704d003acacb34e4ca8fb5f897b938f;org.webbitserver.netty.WebSocketClient; void org.webbitserver.netty.WebSocketClient$HandshakeChannelHandler.adjustPipelineToWebSocket(ChannelHandlerContext, MessageEvent, ChannelHandler, ChannelHandler);[260];TRUE;[];[262];[]
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;org.jsoup.helper.HttpConnection; HttpURLConnection org.jsoup.helper.HttpConnection$Response.createConnection(Request);[609, 610, 611, 612, 613, 614];TRUE;[];[617];[]
okhttp;35166168529bd27281685e56a0a122eff44460e9;com.squareup.okhttp.OkHttpClient; OkHttpClient com.squareup.okhttp.OkHttpClient.copyWithDefaults();[277, 293];TRUE;[];[287];[]
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.TransportReplicationAction; void org.elasticsearch.action.support.replication.TransportReplicationAction$AsyncReplicaAction.doRun();[455, 458, 460];TRUE;[];[457, 459];[]
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;org.elasticsearch.action.support.replication.ReplicationOperation; void org.elasticsearch.action.support.replication.ReplicationOperation.execute();[98, 109];TRUE;[];[113, 98, 99, 101, 119, 108, 110];[]
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests; void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis();[229];TRUE;[];[226, 228];[]
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests; void org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testCommonGramsAnalysis();[144];TRUE;[];[141, 143];[]
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;org.springframework.boot.context.SpringBootServletInitializer; WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext);[99];TRUE;[];[121, 123];[]
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;org.springframework.boot.context.SpringBootServletInitializer; WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext);[87];TRUE;[];[88];[]
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;org.springframework.boot.autoconfigure.AutoConfigurationReportLoggingInitializer; void org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer.logAutoConfigurationReport(boolean);[114];TRUE;[];[110];[]
spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;org.springframework.boot.context.embedded.TomcatEmbeddedServletContainerFactory; void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.customizeConnector(Connector);[240, 241, 242, 243, 244, 246, 247, 248, 249];TRUE;[];[228];[]
